C,principal_components,penalty,class_weight,solver,accuracy_train,f1_train,accuracy_test,f1_test,accuracy_difference
2.1,460,l2,balanced,lbfgs,0.87,0.869,0.535,0.529,0.335
2.1,460,l2,None,lbfgs,0.87,0.869,0.535,0.529,0.335
2.1,460,l2,balanced,newton-cg,0.877,0.876,0.48,0.479,0.397
2.1,460,l2,None,newton-cg,0.877,0.876,0.48,0.479,0.397
2.1,460,l2,balanced,sag,0.875,0.875,0.519,0.516,0.356
2.1,460,l2,None,sag,0.875,0.875,0.519,0.516,0.356
2.1,460,l2,balanced,saga,0.874,0.874,0.526,0.522,0.348
2.1,460,l2,None,saga,0.874,0.873,0.526,0.521,0.348
2.1,460,elasticnet,balanced,saga,0.874,0.874,0.528,0.523,0.346
2.1,460,elasticnet,None,saga,0.874,0.873,0.528,0.524,0.346
2.1,460,l1,balanced,saga,0.874,0.873,0.528,0.524,0.346
2.1,460,l1,None,saga,0.874,0.873,0.528,0.524,0.346
2.1,510,l2,balanced,lbfgs,0.871,0.87,0.538,0.531,0.333
2.1,510,l2,None,lbfgs,0.871,0.87,0.538,0.531,0.333
2.1,510,l2,balanced,newton-cg,0.878,0.878,0.476,0.475,0.402
2.1,510,l2,None,newton-cg,0.878,0.878,0.476,0.475,0.402
2.1,510,l2,balanced,sag,0.876,0.876,0.52,0.516,0.356
2.1,510,l2,None,sag,0.877,0.876,0.52,0.516,0.357
2.1,510,l2,balanced,saga,0.876,0.875,0.525,0.521,0.351
2.1,510,l2,None,saga,0.876,0.875,0.525,0.521,0.351
2.1,510,elasticnet,balanced,saga,0.876,0.875,0.526,0.522,0.35
2.1,510,elasticnet,None,saga,0.876,0.875,0.526,0.522,0.35
2.1,510,l1,balanced,saga,0.875,0.875,0.528,0.524,0.347
2.1,510,l1,None,saga,0.875,0.874,0.527,0.523,0.348
2.6,10,l2,balanced,lbfgs,0.76,0.758,0.54,0.531,0.22
2.6,10,l2,None,lbfgs,0.76,0.758,0.54,0.531,0.22
2.6,10,l2,balanced,newton-cg,0.764,0.761,0.55,0.543,0.214
2.6,10,l2,None,newton-cg,0.764,0.761,0.55,0.543,0.214
2.6,10,l2,balanced,sag,0.764,0.761,0.55,0.542,0.214
2.6,10,l2,None,sag,0.764,0.761,0.55,0.542,0.214
2.6,10,l2,balanced,saga,0.764,0.76,0.55,0.542,0.214
2.6,10,l2,None,saga,0.764,0.76,0.55,0.542,0.214
2.6,10,elasticnet,balanced,saga,0.764,0.76,0.55,0.542,0.214
2.6,10,elasticnet,None,saga,0.764,0.76,0.55,0.542,0.214
2.6,10,l1,balanced,saga,0.764,0.76,0.55,0.542,0.214
2.6,10,l1,None,saga,0.764,0.76,0.55,0.542,0.214
2.6,60,l2,balanced,lbfgs,0.84,0.839,0.545,0.532,0.295
2.6,60,l2,None,lbfgs,0.84,0.839,0.545,0.532,0.295
2.6,60,l2,balanced,newton-cg,0.844,0.844,0.536,0.526,0.308
2.6,60,l2,None,newton-cg,0.844,0.844,0.536,0.526,0.308
2.6,60,l2,balanced,sag,0.843,0.842,0.536,0.526,0.307
2.6,60,l2,None,sag,0.843,0.842,0.536,0.526,0.307
2.6,60,l2,balanced,saga,0.843,0.842,0.542,0.53,0.301
2.6,60,l2,None,saga,0.843,0.842,0.542,0.53,0.301
2.6,60,elasticnet,balanced,saga,0.843,0.842,0.542,0.531,0.301
2.6,60,elasticnet,None,saga,0.843,0.842,0.542,0.531,0.301
2.6,60,l1,balanced,saga,0.843,0.842,0.542,0.531,0.301
2.6,60,l1,None,saga,0.843,0.842,0.542,0.531,0.301
2.6,110,l2,balanced,lbfgs,0.854,0.853,0.536,0.53,0.318
2.6,110,l2,None,lbfgs,0.854,0.853,0.536,0.53,0.318
2.6,110,l2,balanced,newton-cg,0.857,0.856,0.519,0.514,0.338
2.6,110,l2,None,newton-cg,0.857,0.856,0.519,0.514,0.338
2.6,110,l2,balanced,sag,0.856,0.855,0.528,0.522,0.328
2.6,110,l2,None,sag,0.856,0.855,0.528,0.522,0.328
2.6,110,l2,balanced,saga,0.856,0.855,0.533,0.527,0.323
2.6,110,l2,None,saga,0.856,0.855,0.533,0.527,0.323
2.6,110,elasticnet,balanced,saga,0.856,0.855,0.534,0.528,0.322
2.6,110,elasticnet,None,saga,0.856,0.855,0.534,0.528,0.322
2.6,110,l1,balanced,saga,0.856,0.855,0.535,0.529,0.321
2.6,110,l1,None,saga,0.856,0.855,0.535,0.529,0.321
2.6,160,l2,balanced,lbfgs,0.859,0.858,0.538,0.531,0.321
2.6,160,l2,None,lbfgs,0.859,0.858,0.538,0.531,0.321
2.6,160,l2,balanced,newton-cg,0.863,0.862,0.513,0.506,0.35
2.6,160,l2,None,newton-cg,0.863,0.862,0.513,0.506,0.35
2.6,160,l2,balanced,sag,0.862,0.862,0.523,0.515,0.339
2.6,160,l2,None,sag,0.862,0.862,0.523,0.515,0.339
2.6,160,l2,balanced,saga,0.862,0.861,0.528,0.521,0.334
2.6,160,l2,None,saga,0.862,0.861,0.528,0.521,0.334
2.6,160,elasticnet,balanced,saga,0.862,0.861,0.529,0.522,0.333
2.6,160,elasticnet,None,saga,0.862,0.861,0.529,0.522,0.333
2.6,160,l1,balanced,saga,0.862,0.861,0.531,0.524,0.331
2.6,160,l1,None,saga,0.862,0.861,0.531,0.523,0.331
2.6,210,l2,balanced,lbfgs,0.862,0.861,0.541,0.534,0.321
2.6,210,l2,None,lbfgs,0.862,0.861,0.541,0.534,0.321
2.6,210,l2,balanced,newton-cg,0.866,0.865,0.502,0.496,0.364
2.6,210,l2,None,newton-cg,0.866,0.865,0.502,0.496,0.364
2.6,210,l2,balanced,sag,0.865,0.864,0.525,0.519,0.34
2.6,210,l2,None,sag,0.865,0.864,0.525,0.519,0.34
2.6,210,l2,balanced,saga,0.864,0.864,0.533,0.527,0.331
2.6,210,l2,None,saga,0.864,0.864,0.533,0.527,0.331
2.6,210,elasticnet,balanced,saga,0.865,0.864,0.533,0.527,0.332
2.6,210,elasticnet,None,saga,0.864,0.864,0.533,0.527,0.331
2.6,210,l1,balanced,saga,0.865,0.864,0.533,0.527,0.332
2.6,210,l1,None,saga,0.865,0.864,0.533,0.527,0.332
2.6,260,l2,balanced,lbfgs,0.864,0.864,0.54,0.533,0.324
2.6,260,l2,None,lbfgs,0.864,0.864,0.54,0.533,0.324
2.6,260,l2,balanced,newton-cg,0.869,0.869,0.502,0.498,0.367
2.6,260,l2,None,newton-cg,0.869,0.869,0.502,0.498,0.367
2.6,260,l2,balanced,sag,0.868,0.867,0.53,0.523,0.338
2.6,260,l2,None,sag,0.868,0.867,0.529,0.523,0.339
2.6,260,l2,balanced,saga,0.868,0.867,0.536,0.53,0.332
2.6,260,l2,None,saga,0.868,0.867,0.537,0.53,0.331
2.6,260,elasticnet,balanced,saga,0.868,0.867,0.537,0.531,0.331
2.6,260,elasticnet,None,saga,0.868,0.867,0.537,0.531,0.331
2.6,260,l1,balanced,saga,0.868,0.867,0.538,0.532,0.33
2.6,260,l1,None,saga,0.868,0.867,0.538,0.532,0.33
2.6,310,l2,balanced,lbfgs,0.866,0.865,0.538,0.531,0.328
2.6,310,l2,None,lbfgs,0.866,0.865,0.538,0.531,0.328
2.6,310,l2,balanced,newton-cg,0.871,0.87,0.482,0.479,0.389
2.6,310,l2,None,newton-cg,0.871,0.87,0.482,0.479,0.389
2.6,310,l2,balanced,sag,0.87,0.869,0.522,0.517,0.348
2.6,310,l2,None,sag,0.87,0.869,0.523,0.517,0.347
2.6,310,l2,balanced,saga,0.87,0.869,0.528,0.522,0.342
2.6,310,l2,None,saga,0.87,0.869,0.528,0.522,0.342
2.6,310,elasticnet,balanced,saga,0.87,0.869,0.53,0.524,0.34
2.6,310,elasticnet,None,saga,0.869,0.869,0.53,0.524,0.339
2.6,310,l1,balanced,saga,0.87,0.869,0.53,0.524,0.34
2.6,310,l1,None,saga,0.87,0.869,0.53,0.525,0.34
2.6,360,l2,balanced,lbfgs,0.868,0.867,0.536,0.529,0.332
2.6,360,l2,None,lbfgs,0.868,0.867,0.536,0.529,0.332
2.6,360,l2,balanced,newton-cg,0.873,0.872,0.482,0.48,0.391
2.6,360,l2,None,newton-cg,0.873,0.872,0.482,0.48,0.391
2.6,360,l2,balanced,sag,0.872,0.871,0.518,0.513,0.354
2.6,360,l2,None,sag,0.872,0.871,0.517,0.512,0.355
2.6,360,l2,balanced,saga,0.871,0.871,0.525,0.52,0.346
2.6,360,l2,None,saga,0.871,0.87,0.525,0.52,0.346
2.6,360,elasticnet,balanced,saga,0.871,0.87,0.527,0.522,0.344
2.6,360,elasticnet,None,saga,0.871,0.87,0.527,0.522,0.344
2.6,360,l1,balanced,saga,0.871,0.87,0.528,0.523,0.343
2.6,360,l1,None,saga,0.871,0.87,0.528,0.523,0.343
2.6,410,l2,balanced,lbfgs,0.869,0.868,0.537,0.531,0.332
2.6,410,l2,None,lbfgs,0.869,0.868,0.537,0.531,0.332
2.6,410,l2,balanced,newton-cg,0.875,0.874,0.481,0.48,0.394
2.6,410,l2,None,newton-cg,0.875,0.874,0.481,0.48,0.394
2.6,410,l2,balanced,sag,0.873,0.873,0.515,0.512,0.358
2.6,410,l2,None,sag,0.873,0.873,0.516,0.512,0.357
2.6,410,l2,balanced,saga,0.873,0.872,0.523,0.519,0.35
2.6,410,l2,None,saga,0.873,0.872,0.523,0.519,0.35
2.6,410,elasticnet,balanced,saga,0.873,0.872,0.525,0.521,0.348
2.6,410,elasticnet,None,saga,0.873,0.872,0.525,0.521,0.348
2.6,410,l1,balanced,saga,0.873,0.872,0.527,0.522,0.346
2.6,410,l1,None,saga,0.873,0.872,0.527,0.522,0.346
2.6,460,l2,balanced,lbfgs,0.87,0.869,0.534,0.528,0.336
2.6,460,l2,None,lbfgs,0.87,0.869,0.534,0.528,0.336
2.6,460,l2,balanced,newton-cg,0.877,0.876,0.476,0.475,0.401
2.6,460,l2,None,newton-cg,0.877,0.876,0.476,0.475,0.401
2.6,460,l2,balanced,sag,0.875,0.875,0.518,0.515,0.357
2.6,460,l2,None,sag,0.875,0.875,0.519,0.515,0.356
2.6,460,l2,balanced,saga,0.874,0.874,0.526,0.522,0.348
2.6,460,l2,None,saga,0.874,0.874,0.526,0.522,0.348
2.6,460,elasticnet,balanced,saga,0.874,0.873,0.527,0.523,0.347
2.6,460,elasticnet,None,saga,0.874,0.873,0.527,0.523,0.347
2.6,460,l1,balanced,saga,0.874,0.873,0.528,0.524,0.346
2.6,460,l1,None,saga,0.874,0.873,0.528,0.524,0.346
2.6,510,l2,balanced,lbfgs,0.871,0.871,0.533,0.527,0.338
2.6,510,l2,None,lbfgs,0.871,0.871,0.533,0.527,0.338
2.6,510,l2,balanced,newton-cg,0.878,0.878,0.471,0.47,0.407
2.6,510,l2,None,newton-cg,0.878,0.878,0.471,0.47,0.407
2.6,510,l2,balanced,sag,0.876,0.876,0.519,0.516,0.357
2.6,510,l2,None,sag,0.877,0.876,0.519,0.516,0.358
2.6,510,l2,balanced,saga,0.876,0.875,0.525,0.521,0.351
2.6,510,l2,None,saga,0.876,0.875,0.525,0.521,0.351
2.6,510,elasticnet,balanced,saga,0.876,0.875,0.526,0.522,0.35
2.6,510,elasticnet,None,saga,0.876,0.875,0.525,0.522,0.351
2.6,510,l1,balanced,saga,0.875,0.875,0.527,0.523,0.348
2.6,510,l1,None,saga,0.875,0.875,0.527,0.523,0.348
