C,principal_components,gamma,probablity,accuracy_train,f1_train,accuracy_test,f1_test,accuracy_difference
5,150,auto,False,0.994,0.994,0.581,0.577,0.413
5,150,scale,False,0.95,0.95,0.553,0.559,0.397
5,200,auto,False,0.991,0.991,0.58,0.578,0.411
5,200,scale,False,0.955,0.955,0.554,0.559,0.401
5,250,auto,False,0.988,0.988,0.574,0.575,0.414
5,250,scale,False,0.959,0.959,0.553,0.558,0.406
5,300,auto,False,0.984,0.984,0.571,0.572,0.413
5,300,scale,False,0.961,0.961,0.556,0.561,0.405
5,350,auto,False,0.981,0.981,0.569,0.571,0.412
5,350,scale,False,0.963,0.963,0.559,0.563,0.404
5,400,auto,False,0.977,0.977,0.567,0.57,0.41
5,400,scale,False,0.965,0.965,0.56,0.564,0.405
5,450,auto,False,0.974,0.974,0.564,0.567,0.41
