C,principal_components,gamma,probablity,accuracy_train,f1_train,accuracy_test,f1_test,accuracy_difference
10,100,auto,False,1.0,1.0,0.555,0.544,0.445
10,100,scale,False,0.957,0.957,0.527,0.533,0.43
10,150,auto,False,0.999,0.999,0.576,0.572,0.423
10,150,scale,False,0.966,0.966,0.532,0.538,0.434
10,200,auto,False,0.998,0.998,0.575,0.573,0.423
10,200,scale,False,0.972,0.972,0.534,0.539,0.438
10,250,auto,False,0.996,0.996,0.57,0.571,0.426
10,250,scale,False,0.975,0.975,0.535,0.54,0.44
10,300,auto,False,0.995,0.995,0.565,0.566,0.43
10,300,scale,False,0.978,0.978,0.539,0.545,0.439
10,350,auto,False,0.993,0.993,0.559,0.562,0.434
10,350,scale,False,0.979,0.979,0.544,0.549,0.435
10,400,auto,False,0.99,0.99,0.558,0.562,0.432
10,400,scale,False,0.981,0.981,0.547,0.552,0.434
10,450,auto,False,0.988,0.988,0.554,0.557,0.434
10,450,scale,False,0.982,0.982,0.548,0.552,0.434
10,500,auto,False,0.986,0.986,0.549,0.553,0.437
10,500,scale,False,0.983,0.983,0.547,0.551,0.436
30,100,auto,False,1.0,1.0,0.554,0.543,0.446
30,100,scale,False,0.98,0.98,0.503,0.508,0.477
30,150,auto,False,1.0,1.0,0.574,0.57,0.426
30,150,scale,False,0.987,0.987,0.511,0.516,0.476
30,200,auto,False,1.0,1.0,0.573,0.571,0.427
30,200,scale,False,0.991,0.991,0.513,0.519,0.478
30,250,auto,False,1.0,1.0,0.569,0.569,0.431
30,250,scale,False,0.994,0.994,0.516,0.52,0.478
30,300,auto,False,1.0,1.0,0.561,0.563,0.439
30,300,scale,False,0.995,0.995,0.524,0.529,0.471
30,350,auto,False,1.0,1.0,0.554,0.557,0.446
30,350,scale,False,0.996,0.996,0.529,0.534,0.467
30,400,auto,False,0.999,0.999,0.551,0.555,0.448
30,400,scale,False,0.997,0.997,0.538,0.542,0.459
30,450,auto,False,0.999,0.999,0.546,0.55,0.453
30,450,scale,False,0.997,0.997,0.538,0.542,0.459
30,500,auto,False,0.998,0.998,0.539,0.544,0.459
30,500,scale,False,0.998,0.998,0.536,0.541,0.462
50,100,auto,False,1.0,1.0,0.554,0.543,0.446
50,100,scale,False,0.987,0.987,0.501,0.506,0.486
50,150,auto,False,1.0,1.0,0.574,0.57,0.426
50,150,scale,False,0.994,0.994,0.507,0.512,0.487
50,200,auto,False,1.0,1.0,0.573,0.572,0.427
50,200,scale,False,0.996,0.996,0.51,0.513,0.486
50,250,auto,False,1.0,1.0,0.569,0.569,0.431
50,250,scale,False,0.998,0.998,0.517,0.521,0.481
50,300,auto,False,1.0,1.0,0.562,0.564,0.438
50,300,scale,False,0.998,0.998,0.526,0.531,0.472
50,350,auto,False,1.0,1.0,0.556,0.56,0.444
50,350,scale,False,0.999,0.999,0.527,0.532,0.472
50,400,auto,False,1.0,1.0,0.554,0.557,0.446
50,400,scale,False,0.999,0.999,0.536,0.541,0.463
50,450,auto,False,1.0,1.0,0.547,0.551,0.453
50,450,scale,False,0.999,0.999,0.537,0.542,0.462
50,500,auto,False,1.0,1.0,0.542,0.546,0.458
50,500,scale,False,1.0,1.0,0.537,0.542,0.463
70,100,auto,False,1.0,1.0,0.554,0.543,0.446
70,100,scale,False,0.992,0.992,0.499,0.504,0.493
70,150,auto,False,1.0,1.0,0.574,0.57,0.426
70,150,scale,False,0.997,0.996,0.503,0.507,0.494
70,200,auto,False,1.0,1.0,0.573,0.572,0.427
70,200,scale,False,0.998,0.998,0.511,0.515,0.487
70,250,auto,False,1.0,1.0,0.569,0.569,0.431
70,250,scale,False,0.999,0.999,0.518,0.521,0.481
70,300,auto,False,1.0,1.0,0.561,0.563,0.439
70,300,scale,False,0.999,0.999,0.526,0.53,0.473
70,350,auto,False,1.0,1.0,0.556,0.559,0.444
70,350,scale,False,1.0,1.0,0.529,0.533,0.471
70,400,auto,False,1.0,1.0,0.555,0.558,0.445
70,400,scale,False,1.0,1.0,0.537,0.541,0.463
70,450,auto,False,1.0,1.0,0.548,0.551,0.452
70,450,scale,False,1.0,1.0,0.538,0.543,0.462
70,500,auto,False,1.0,1.0,0.542,0.547,0.458
70,500,scale,False,1.0,1.0,0.538,0.543,0.462
90,100,auto,False,1.0,1.0,0.554,0.543,0.446
90,100,scale,False,0.994,0.994,0.498,0.502,0.496
90,150,auto,False,1.0,1.0,0.574,0.57,0.426
90,150,scale,False,0.998,0.998,0.504,0.508,0.494
90,200,auto,False,1.0,1.0,0.573,0.572,0.427
90,200,scale,False,0.999,0.999,0.511,0.515,0.488
90,250,auto,False,1.0,1.0,0.569,0.569,0.431
90,250,scale,False,1.0,1.0,0.518,0.522,0.482
90,300,auto,False,1.0,1.0,0.561,0.563,0.439
90,300,scale,False,1.0,1.0,0.527,0.531,0.473
90,350,auto,False,1.0,1.0,0.556,0.559,0.444
90,350,scale,False,1.0,1.0,0.529,0.534,0.471
90,400,auto,False,1.0,1.0,0.554,0.558,0.446
90,400,scale,False,1.0,1.0,0.538,0.543,0.462
90,450,auto,False,1.0,1.0,0.548,0.551,0.452
90,450,scale,False,1.0,1.0,0.539,0.543,0.461
90,500,auto,False,1.0,1.0,0.543,0.547,0.457
90,500,scale,False,1.0,1.0,0.539,0.543,0.461
