C,principal_components,gamma,probablity,accuracy_train,f1_train,accuracy_test,f1_test,accuracy_difference
0.05,150,0.0012,False,0.835,0.833,0.639,0.619,0.196
0.05,150,0.0013,False,0.837,0.835,0.639,0.619,0.198
0.05,150,0.0014,False,0.839,0.837,0.64,0.62,0.199
0.05,150,0.0015,False,0.84,0.838,0.641,0.621,0.199
0.05,150,0.0016,False,0.841,0.839,0.641,0.622,0.2
0.05,150,0.0017,False,0.842,0.84,0.643,0.623,0.199
0.05,150,0.0018,False,0.844,0.842,0.643,0.623,0.201
0.05,150,0.0019,False,0.845,0.843,0.643,0.624,0.202
0.05,200,0.0012,False,0.836,0.834,0.639,0.619,0.197
0.05,200,0.0013,False,0.838,0.836,0.641,0.621,0.197
0.05,200,0.0014,False,0.84,0.838,0.641,0.621,0.199
0.05,200,0.0015,False,0.841,0.839,0.64,0.62,0.201
0.05,200,0.0016,False,0.842,0.84,0.641,0.621,0.201
0.05,200,0.0017,False,0.844,0.842,0.643,0.623,0.201
0.05,200,0.0018,False,0.845,0.843,0.643,0.623,0.202
0.05,200,0.0019,False,0.846,0.844,0.643,0.624,0.203
0.05,250,0.0012,False,0.837,0.835,0.64,0.62,0.197
0.05,250,0.0013,False,0.838,0.836,0.64,0.62,0.198
0.05,250,0.0014,False,0.84,0.838,0.64,0.62,0.2
0.05,250,0.0015,False,0.841,0.839,0.641,0.621,0.2
0.05,250,0.0016,False,0.843,0.841,0.642,0.622,0.201
0.05,250,0.0017,False,0.844,0.842,0.643,0.623,0.201
0.05,250,0.0018,False,0.845,0.843,0.643,0.623,0.202
0.05,250,0.0019,False,0.846,0.844,0.644,0.624,0.202
0.05,300,0.0012,False,0.837,0.835,0.64,0.62,0.197
0.05,300,0.0013,False,0.839,0.836,0.641,0.621,0.198
0.05,300,0.0014,False,0.84,0.838,0.641,0.621,0.199
0.05,300,0.0015,False,0.842,0.839,0.642,0.621,0.2
0.05,300,0.0016,False,0.843,0.841,0.643,0.622,0.2
0.05,300,0.0017,False,0.844,0.842,0.643,0.623,0.201
0.05,300,0.0018,False,0.845,0.843,0.643,0.624,0.202
0.05,300,0.0019,False,0.846,0.844,0.644,0.624,0.202
0.05,350,0.0012,False,0.837,0.835,0.64,0.62,0.197
0.05,350,0.0013,False,0.839,0.836,0.641,0.621,0.198
0.05,350,0.0014,False,0.84,0.838,0.642,0.622,0.198
0.05,350,0.0015,False,0.842,0.84,0.642,0.622,0.2
0.05,350,0.0016,False,0.843,0.841,0.643,0.623,0.2
0.05,350,0.0017,False,0.844,0.842,0.643,0.623,0.201
0.05,350,0.0018,False,0.845,0.843,0.644,0.624,0.201
0.05,350,0.0019,False,0.846,0.844,0.644,0.624,0.202
0.05,400,0.0012,False,0.837,0.835,0.64,0.62,0.197
0.05,400,0.0013,False,0.839,0.836,0.641,0.621,0.198
0.05,400,0.0014,False,0.84,0.838,0.642,0.621,0.198
0.05,400,0.0015,False,0.842,0.84,0.642,0.622,0.2
0.05,400,0.0016,False,0.843,0.841,0.643,0.623,0.2
0.05,400,0.0017,False,0.844,0.842,0.643,0.623,0.201
0.05,400,0.0018,False,0.845,0.843,0.644,0.624,0.201
0.05,400,0.0019,False,0.846,0.844,0.644,0.624,0.202
0.05,450,0.0012,False,0.837,0.835,0.64,0.62,0.197
0.05,450,0.0013,False,0.839,0.837,0.641,0.621,0.198
0.05,450,0.0014,False,0.84,0.838,0.642,0.622,0.198
0.05,450,0.0015,False,0.842,0.839,0.643,0.622,0.199
0.05,450,0.0016,False,0.843,0.841,0.643,0.623,0.2
0.05,450,0.0017,False,0.844,0.842,0.643,0.622,0.201
0.05,450,0.0018,False,0.845,0.843,0.644,0.624,0.201
0.05,450,0.0019,False,0.846,0.844,0.644,0.624,0.202
0.05,500,0.0012,False,0.837,0.835,0.64,0.62,0.197
0.05,500,0.0013,False,0.839,0.836,0.641,0.62,0.198
0.05,500,0.0014,False,0.84,0.838,0.641,0.621,0.199
0.05,500,0.0015,False,0.842,0.839,0.642,0.622,0.2
0.05,500,0.0016,False,0.843,0.841,0.643,0.623,0.2
0.05,500,0.0017,False,0.844,0.842,0.643,0.623,0.201
0.05,500,0.0018,False,0.845,0.843,0.643,0.624,0.202
0.05,500,0.0019,False,0.846,0.844,0.644,0.624,0.202
0.1,150,0.0012,False,0.854,0.852,0.638,0.62,0.216
0.1,150,0.0013,False,0.856,0.854,0.639,0.621,0.217
0.1,150,0.0014,False,0.858,0.856,0.638,0.621,0.22
0.1,150,0.0015,False,0.859,0.858,0.638,0.621,0.221
0.1,150,0.0016,False,0.861,0.859,0.64,0.622,0.221
0.1,150,0.0017,False,0.862,0.86,0.64,0.622,0.222
0.1,150,0.0018,False,0.863,0.862,0.64,0.622,0.223
0.1,150,0.0019,False,0.864,0.863,0.64,0.622,0.224
0.1,200,0.0012,False,0.855,0.853,0.639,0.621,0.216
0.1,200,0.0013,False,0.857,0.856,0.639,0.621,0.218
0.1,200,0.0014,False,0.859,0.857,0.64,0.622,0.219
0.1,200,0.0015,False,0.86,0.859,0.64,0.622,0.22
0.1,200,0.0016,False,0.862,0.86,0.641,0.623,0.221
0.1,200,0.0017,False,0.863,0.862,0.641,0.623,0.222
0.1,200,0.0018,False,0.864,0.863,0.641,0.623,0.223
0.1,200,0.0019,False,0.865,0.864,0.641,0.623,0.224
0.1,250,0.0012,False,0.856,0.854,0.639,0.62,0.217
0.1,250,0.0013,False,0.857,0.856,0.639,0.621,0.218
0.1,250,0.0014,False,0.86,0.858,0.639,0.621,0.221
0.1,250,0.0015,False,0.861,0.86,0.639,0.621,0.222
0.1,250,0.0016,False,0.863,0.861,0.64,0.622,0.223
0.1,250,0.0017,False,0.864,0.862,0.641,0.623,0.223
0.1,250,0.0018,False,0.865,0.864,0.641,0.623,0.224
0.1,250,0.0019,False,0.866,0.864,0.641,0.623,0.225
0.1,300,0.0012,False,0.856,0.854,0.639,0.62,0.217
0.1,300,0.0013,False,0.858,0.856,0.639,0.621,0.219
0.1,300,0.0014,False,0.86,0.858,0.639,0.621,0.221
0.1,300,0.0015,False,0.861,0.86,0.639,0.621,0.222
0.1,300,0.0016,False,0.863,0.862,0.641,0.622,0.222
0.1,300,0.0017,False,0.864,0.863,0.64,0.622,0.224
0.1,300,0.0018,False,0.865,0.864,0.641,0.622,0.224
0.1,300,0.0019,False,0.866,0.865,0.641,0.623,0.225
0.1,350,0.0012,False,0.856,0.854,0.638,0.62,0.218
0.1,350,0.0013,False,0.858,0.856,0.639,0.621,0.219
0.1,350,0.0014,False,0.86,0.858,0.64,0.622,0.22
0.1,350,0.0015,False,0.862,0.86,0.64,0.622,0.222
0.1,350,0.0016,False,0.863,0.862,0.64,0.622,0.223
0.1,350,0.0017,False,0.864,0.863,0.641,0.623,0.223
0.1,350,0.0018,False,0.865,0.864,0.641,0.623,0.224
0.1,350,0.0019,False,0.866,0.865,0.641,0.623,0.225
0.1,400,0.0012,False,0.856,0.854,0.639,0.62,0.217
0.1,400,0.0013,False,0.858,0.856,0.639,0.621,0.219
0.1,400,0.0014,False,0.86,0.859,0.639,0.621,0.221
0.1,400,0.0015,False,0.862,0.86,0.64,0.622,0.222
0.1,400,0.0016,False,0.863,0.861,0.64,0.622,0.223
0.1,400,0.0017,False,0.864,0.863,0.641,0.622,0.223
0.1,400,0.0018,False,0.866,0.864,0.641,0.623,0.225
0.1,400,0.0019,False,0.867,0.865,0.641,0.623,0.226
0.1,450,0.0012,False,0.856,0.854,0.638,0.62,0.218
0.1,450,0.0013,False,0.858,0.856,0.639,0.621,0.219
0.1,450,0.0014,False,0.86,0.859,0.64,0.621,0.22
0.1,450,0.0015,False,0.862,0.86,0.64,0.622,0.222
