C,principal_components,gamma,probablity,accuracy_train,f1_train,accuracy_test,f1_test,accuracy_difference
0.1,450,0.0016,False,0.863,0.862,0.641,0.623,0.222
0.1,450,0.0017,False,0.865,0.863,0.641,0.622,0.224
0.1,450,0.0018,False,0.866,0.864,0.641,0.623,0.225
0.1,450,0.0019,False,0.867,0.865,0.642,0.623,0.225
0.1,500,0.0012,False,0.856,0.855,0.639,0.62,0.217
0.1,500,0.0013,False,0.858,0.856,0.64,0.621,0.218
0.1,500,0.0014,False,0.86,0.859,0.639,0.621,0.221
0.1,500,0.0015,False,0.862,0.86,0.64,0.622,0.222
0.1,500,0.0016,False,0.863,0.861,0.641,0.622,0.222
0.1,500,0.0017,False,0.864,0.863,0.641,0.623,0.223
0.1,500,0.0018,False,0.866,0.864,0.642,0.623,0.224
0.1,500,0.0019,False,0.867,0.865,0.642,0.624,0.225
0.15,150,0.0012,False,0.864,0.862,0.633,0.617,0.231
0.15,150,0.0013,False,0.865,0.864,0.634,0.617,0.231
0.15,150,0.0014,False,0.867,0.866,0.634,0.618,0.233
0.15,150,0.0015,False,0.868,0.867,0.635,0.618,0.233
0.15,150,0.0016,False,0.87,0.869,0.635,0.618,0.235
0.15,150,0.0017,False,0.872,0.87,0.635,0.619,0.237
0.15,150,0.0018,False,0.873,0.872,0.635,0.619,0.238
0.15,150,0.0019,False,0.874,0.872,0.636,0.62,0.238
0.15,200,0.0012,False,0.865,0.864,0.635,0.619,0.23
0.15,200,0.0013,False,0.867,0.866,0.635,0.618,0.232
0.15,200,0.0014,False,0.869,0.867,0.634,0.618,0.235
0.15,200,0.0015,False,0.87,0.868,0.635,0.619,0.235
0.15,200,0.0016,False,0.871,0.87,0.635,0.619,0.236
0.15,200,0.0017,False,0.872,0.871,0.636,0.619,0.236
0.15,200,0.0018,False,0.874,0.873,0.636,0.62,0.238
0.15,200,0.0019,False,0.875,0.874,0.637,0.62,0.238
0.15,250,0.0012,False,0.866,0.864,0.635,0.618,0.231
0.15,250,0.0013,False,0.868,0.866,0.635,0.618,0.233
0.15,250,0.0014,False,0.869,0.868,0.635,0.618,0.234
0.15,250,0.0015,False,0.87,0.869,0.635,0.619,0.235
0.15,250,0.0016,False,0.872,0.87,0.635,0.619,0.237
0.15,250,0.0017,False,0.873,0.872,0.636,0.619,0.237
0.15,250,0.0018,False,0.874,0.873,0.637,0.62,0.237
0.15,250,0.0019,False,0.875,0.874,0.637,0.621,0.238
0.15,300,0.0012,False,0.866,0.865,0.635,0.618,0.231
0.15,300,0.0013,False,0.868,0.867,0.634,0.618,0.234
0.15,300,0.0014,False,0.869,0.868,0.634,0.618,0.235
0.15,300,0.0015,False,0.871,0.87,0.635,0.618,0.236
0.15,300,0.0016,False,0.872,0.871,0.635,0.619,0.237
0.15,300,0.0017,False,0.874,0.872,0.636,0.62,0.238
0.15,300,0.0018,False,0.875,0.873,0.636,0.62,0.239
0.15,300,0.0019,False,0.876,0.875,0.637,0.621,0.239
0.15,350,0.0012,False,0.867,0.865,0.635,0.618,0.232
0.15,350,0.0013,False,0.869,0.867,0.635,0.619,0.234
0.15,350,0.0014,False,0.87,0.869,0.635,0.618,0.235
0.15,350,0.0015,False,0.871,0.87,0.635,0.619,0.236
0.15,350,0.0016,False,0.873,0.872,0.636,0.619,0.237
0.15,350,0.0017,False,0.874,0.873,0.636,0.62,0.238
0.15,350,0.0018,False,0.875,0.874,0.636,0.62,0.239
0.15,350,0.0019,False,0.876,0.875,0.637,0.621,0.239
0.15,400,0.0012,False,0.867,0.865,0.635,0.618,0.232
0.15,400,0.0013,False,0.869,0.867,0.635,0.618,0.234
0.15,400,0.0014,False,0.87,0.869,0.635,0.619,0.235
0.15,400,0.0015,False,0.872,0.87,0.636,0.619,0.236
0.15,400,0.0016,False,0.873,0.872,0.636,0.62,0.237
0.15,400,0.0017,False,0.874,0.873,0.636,0.62,0.238
0.15,400,0.0018,False,0.875,0.874,0.637,0.62,0.238
0.15,400,0.0019,False,0.876,0.875,0.638,0.621,0.238
0.15,450,0.0012,False,0.867,0.866,0.635,0.618,0.232
0.15,450,0.0013,False,0.869,0.868,0.635,0.619,0.234
0.15,450,0.0014,False,0.87,0.869,0.636,0.619,0.234
0.15,450,0.0015,False,0.872,0.87,0.636,0.62,0.236
0.15,450,0.0016,False,0.873,0.872,0.637,0.62,0.236
0.15,450,0.0017,False,0.874,0.873,0.637,0.62,0.237
0.15,450,0.0018,False,0.875,0.874,0.637,0.621,0.238
0.15,450,0.0019,False,0.877,0.875,0.637,0.621,0.24
0.15,500,0.0012,False,0.867,0.865,0.635,0.618,0.232
0.15,500,0.0013,False,0.869,0.868,0.636,0.619,0.233
0.15,500,0.0014,False,0.87,0.869,0.636,0.619,0.234
0.15,500,0.0015,False,0.872,0.871,0.637,0.62,0.235
0.15,500,0.0016,False,0.873,0.872,0.637,0.62,0.236
0.15,500,0.0017,False,0.874,0.873,0.637,0.62,0.237
0.15,500,0.0018,False,0.875,0.874,0.637,0.621,0.238
0.15,500,0.0019,False,0.877,0.875,0.637,0.621,0.24
0.2,150,0.0012,False,0.87,0.869,0.632,0.616,0.238
0.2,150,0.0013,False,0.872,0.87,0.632,0.617,0.24
0.2,150,0.0014,False,0.873,0.872,0.631,0.616,0.242
0.2,150,0.0015,False,0.874,0.873,0.632,0.617,0.242
