C,principal_components,gamma,probablity,accuracy_train,f1_train,accuracy_test,f1_test,accuracy_difference
0.9,100,0.0011,False,0.89,0.89,0.607,0.601,0.283
0.9,110,0.001,False,0.889,0.889,0.61,0.604,0.279
0.9,110,0.0011,False,0.892,0.891,0.607,0.603,0.285
0.95,100,0.001,False,0.889,0.888,0.607,0.601,0.282
0.95,100,0.0011,False,0.891,0.891,0.606,0.601,0.285
0.95,110,0.001,False,0.89,0.89,0.608,0.602,0.282
0.95,110,0.0011,False,0.893,0.892,0.606,0.601,0.287
0.05,120,0.0012,False,0.834,0.832,0.639,0.619,0.195
0.05,120,0.0013,False,0.836,0.834,0.64,0.62,0.196
0.05,120,0.0014,False,0.838,0.836,0.641,0.621,0.197
0.05,120,0.0015,False,0.839,0.837,0.641,0.622,0.198
0.05,120,0.0016,False,0.84,0.838,0.641,0.621,0.199
0.05,120,0.0017,False,0.842,0.84,0.642,0.622,0.2
0.05,120,0.0018,False,0.843,0.841,0.643,0.624,0.2
0.05,120,0.0019,False,0.844,0.842,0.643,0.623,0.201
0.05,130,0.0012,False,0.834,0.832,0.638,0.618,0.196
0.05,130,0.0013,False,0.837,0.834,0.64,0.62,0.197
0.05,130,0.0014,False,0.838,0.836,0.641,0.62,0.197
0.05,130,0.0015,False,0.839,0.837,0.641,0.621,0.198
0.05,130,0.0016,False,0.841,0.839,0.641,0.622,0.2
0.05,130,0.0017,False,0.842,0.84,0.642,0.623,0.2
0.05,130,0.0018,False,0.843,0.841,0.643,0.623,0.2
0.05,130,0.0019,False,0.844,0.843,0.644,0.624,0.2
0.05,140,0.0012,False,0.835,0.833,0.639,0.618,0.196
0.05,140,0.0013,False,0.837,0.835,0.639,0.619,0.198
0.05,140,0.0014,False,0.838,0.836,0.64,0.62,0.198
0.05,140,0.0015,False,0.84,0.838,0.641,0.621,0.199
0.05,140,0.0016,False,0.841,0.839,0.642,0.622,0.199
0.05,140,0.0017,False,0.842,0.84,0.642,0.622,0.2
0.05,140,0.0018,False,0.844,0.842,0.642,0.623,0.202
0.05,140,0.0019,False,0.845,0.843,0.643,0.624,0.202
0.05,150,0.0012,False,0.835,0.833,0.639,0.619,0.196
0.05,150,0.0013,False,0.837,0.835,0.639,0.619,0.198
0.05,150,0.0014,False,0.839,0.837,0.64,0.62,0.199
0.05,150,0.0015,False,0.84,0.838,0.641,0.621,0.199
0.05,150,0.0016,False,0.841,0.839,0.641,0.622,0.2
0.05,150,0.0017,False,0.842,0.84,0.643,0.623,0.199
0.05,150,0.0018,False,0.844,0.842,0.643,0.623,0.201
0.05,150,0.0019,False,0.845,0.843,0.643,0.624,0.202
0.05,160,0.0012,False,0.835,0.833,0.639,0.618,0.196
0.05,160,0.0013,False,0.837,0.835,0.64,0.62,0.197
0.05,160,0.0014,False,0.839,0.837,0.64,0.62,0.199
0.05,160,0.0015,False,0.84,0.838,0.641,0.621,0.199
0.05,160,0.0016,False,0.842,0.84,0.641,0.621,0.201
0.05,160,0.0017,False,0.843,0.841,0.642,0.622,0.201
0.05,160,0.0018,False,0.844,0.842,0.643,0.623,0.201
0.05,160,0.0019,False,0.845,0.843,0.643,0.623,0.202
0.05,170,0.0012,False,0.836,0.834,0.639,0.619,0.197
0.05,170,0.0013,False,0.837,0.835,0.64,0.62,0.197
0.05,170,0.0014,False,0.839,0.837,0.64,0.62,0.199
0.05,170,0.0015,False,0.84,0.838,0.641,0.621,0.199
0.05,170,0.0016,False,0.842,0.84,0.642,0.621,0.2
0.05,170,0.0017,False,0.843,0.841,0.642,0.622,0.201
0.05,170,0.0018,False,0.844,0.842,0.643,0.623,0.201
0.05,170,0.0019,False,0.846,0.844,0.643,0.623,0.203
0.05,180,0.0012,False,0.836,0.834,0.639,0.618,0.197
0.05,180,0.0013,False,0.838,0.836,0.64,0.62,0.198
0.05,180,0.0014,False,0.839,0.837,0.64,0.62,0.199
0.05,180,0.0015,False,0.841,0.839,0.641,0.621,0.2
0.05,180,0.0016,False,0.842,0.84,0.641,0.621,0.201
0.05,180,0.0017,False,0.843,0.841,0.643,0.623,0.2
0.05,180,0.0018,False,0.844,0.842,0.643,0.623,0.201
0.05,180,0.0019,False,0.846,0.844,0.643,0.624,0.203
0.05,190,0.0012,False,0.836,0.834,0.638,0.618,0.198
0.05,190,0.0013,False,0.838,0.836,0.64,0.62,0.198
0.05,190,0.0014,False,0.839,0.837,0.64,0.621,0.199
0.05,190,0.0015,False,0.841,0.839,0.64,0.62,0.201
0.05,190,0.0016,False,0.842,0.84,0.642,0.622,0.2
0.05,190,0.0017,False,0.843,0.841,0.643,0.623,0.2
0.05,190,0.0018,False,0.845,0.843,0.643,0.623,0.202
0.05,190,0.0019,False,0.846,0.844,0.643,0.624,0.203
0.1,120,0.0012,False,0.852,0.851,0.637,0.619,0.215
0.1,120,0.0013,False,0.854,0.853,0.637,0.62,0.217
0.1,120,0.0014,False,0.856,0.854,0.637,0.62,0.219
0.1,120,0.0015,False,0.857,0.856,0.638,0.62,0.219
0.1,120,0.0016,False,0.859,0.857,0.639,0.622,0.22
0.1,120,0.0017,False,0.86,0.858,0.64,0.622,0.22
0.1,120,0.0018,False,0.861,0.86,0.64,0.623,0.221
0.1,120,0.0019,False,0.862,0.861,0.64,0.623,0.222
0.1,130,0.0012,False,0.853,0.851,0.637,0.619,0.216
0.1,130,0.0013,False,0.855,0.853,0.638,0.62,0.217
0.1,130,0.0014,False,0.857,0.855,0.638,0.62,0.219
0.1,130,0.0015,False,0.858,0.856,0.638,0.62,0.22
0.1,130,0.0016,False,0.859,0.858,0.639,0.621,0.22
0.1,130,0.0017,False,0.861,0.859,0.64,0.622,0.221
0.1,130,0.0018,False,0.862,0.861,0.64,0.622,0.222
0.1,130,0.0019,False,0.863,0.862,0.64,0.622,0.223
0.1,140,0.0012,False,0.854,0.852,0.638,0.62,0.216
0.1,140,0.0013,False,0.856,0.854,0.639,0.621,0.217
0.1,140,0.0014,False,0.857,0.856,0.638,0.62,0.219
0.1,140,0.0015,False,0.859,0.857,0.638,0.621,0.221
0.1,140,0.0016,False,0.86,0.859,0.64,0.622,0.22
0.1,140,0.0017,False,0.862,0.86,0.639,0.622,0.223
0.1,140,0.0018,False,0.863,0.861,0.64,0.622,0.223
0.1,140,0.0019,False,0.864,0.862,0.64,0.622,0.224
0.1,150,0.0012,False,0.854,0.852,0.638,0.62,0.216
0.1,150,0.0013,False,0.856,0.854,0.639,0.621,0.217
0.1,150,0.0014,False,0.858,0.856,0.638,0.621,0.22
0.1,150,0.0015,False,0.859,0.858,0.638,0.621,0.221
0.1,150,0.0016,False,0.861,0.859,0.64,0.622,0.221
0.1,150,0.0017,False,0.862,0.86,0.64,0.622,0.222
0.1,150,0.0018,False,0.863,0.862,0.64,0.622,0.223
0.1,150,0.0019,False,0.864,0.863,0.64,0.622,0.224
0.1,160,0.0012,False,0.855,0.853,0.638,0.62,0.217
0.1,160,0.0013,False,0.857,0.855,0.639,0.621,0.218
0.1,160,0.0014,False,0.858,0.857,0.638,0.621,0.22
0.1,160,0.0015,False,0.86,0.858,0.639,0.621,0.221
0.1,160,0.0016,False,0.861,0.859,0.64,0.622,0.221
0.1,160,0.0017,False,0.862,0.861,0.639,0.622,0.223
0.1,160,0.0018,False,0.864,0.862,0.639,0.621,0.225
0.1,160,0.0019,False,0.865,0.863,0.64,0.622,0.225
0.1,170,0.0012,False,0.855,0.853,0.639,0.621,0.216
0.1,170,0.0013,False,0.857,0.855,0.639,0.621,0.218
0.1,170,0.0014,False,0.859,0.857,0.639,0.621,0.22
0.1,170,0.0015,False,0.86,0.858,0.639,0.621,0.221
0.1,170,0.0016,False,0.861,0.86,0.639,0.622,0.222
0.1,170,0.0017,False,0.862,0.861,0.64,0.622,0.222
0.1,170,0.0018,False,0.864,0.862,0.64,0.622,0.224
0.1,170,0.0019,False,0.865,0.863,0.641,0.623,0.224
0.1,180,0.0012,False,0.855,0.853,0.639,0.621,0.216
0.1,180,0.0013,False,0.857,0.855,0.639,0.621,0.218
0.1,180,0.0014,False,0.859,0.857,0.64,0.621,0.219
0.1,180,0.0015,False,0.86,0.858,0.639,0.621,0.221
0.1,180,0.0016,False,0.862,0.86,0.64,0.622,0.222
0.1,180,0.0017,False,0.863,0.861,0.641,0.623,0.222
0.1,180,0.0018,False,0.864,0.862,0.641,0.623,0.223
0.1,180,0.0019,False,0.865,0.863,0.64,0.623,0.225
0.1,190,0.0012,False,0.855,0.853,0.639,0.621,0.216
0.1,190,0.0013,False,0.857,0.856,0.639,0.621,0.218
0.1,190,0.0014,False,0.859,0.857,0.64,0.622,0.219
0.1,190,0.0015,False,0.86,0.859,0.64,0.622,0.22
0.1,190,0.0016,False,0.862,0.86,0.64,0.622,0.222
0.1,190,0.0017,False,0.863,0.862,0.64,0.622,0.223
0.1,190,0.0018,False,0.864,0.863,0.641,0.623,0.223
0.1,190,0.0019,False,0.865,0.864,0.641,0.623,0.224
0.15,120,0.0012,False,0.862,0.861,0.635,0.618,0.227
0.15,120,0.0013,False,0.864,0.862,0.635,0.619,0.229
0.15,120,0.0014,False,0.866,0.864,0.635,0.618,0.231
0.15,120,0.0015,False,0.867,0.866,0.635,0.619,0.232
0.15,120,0.0016,False,0.868,0.867,0.635,0.619,0.233
0.15,120,0.0017,False,0.87,0.868,0.635,0.619,0.235
0.15,120,0.0018,False,0.871,0.869,0.635,0.62,0.236
0.15,120,0.0019,False,0.872,0.871,0.635,0.62,0.237
0.15,130,0.0012,False,0.863,0.861,0.634,0.617,0.229
0.15,130,0.0013,False,0.865,0.863,0.634,0.618,0.231
0.15,130,0.0014,False,0.866,0.865,0.635,0.619,0.231
0.15,130,0.0015,False,0.868,0.866,0.635,0.619,0.233
0.15,130,0.0016,False,0.869,0.868,0.634,0.618,0.235
0.15,130,0.0017,False,0.87,0.869,0.635,0.619,0.235
0.15,130,0.0018,False,0.872,0.87,0.635,0.619,0.237
0.15,130,0.0019,False,0.873,0.871,0.635,0.619,0.238
0.15,140,0.0012,False,0.864,0.862,0.634,0.617,0.23
0.15,140,0.0013,False,0.865,0.864,0.635,0.618,0.23
0.15,140,0.0014,False,0.867,0.865,0.635,0.618,0.232
0.15,140,0.0015,False,0.868,0.867,0.634,0.618,0.234
0.15,140,0.0016,False,0.869,0.868,0.634,0.618,0.235
0.15,140,0.0017,False,0.871,0.87,0.635,0.618,0.236
0.15,140,0.0018,False,0.872,0.871,0.636,0.619,0.236
0.15,140,0.0019,False,0.873,0.872,0.635,0.619,0.238
0.15,150,0.0012,False,0.864,0.862,0.633,0.617,0.231
0.15,150,0.0013,False,0.865,0.864,0.634,0.617,0.231
0.15,150,0.0014,False,0.867,0.866,0.634,0.618,0.233
0.15,150,0.0015,False,0.868,0.867,0.635,0.618,0.233
0.15,150,0.0016,False,0.87,0.869,0.635,0.618,0.235
0.15,150,0.0017,False,0.872,0.87,0.635,0.619,0.237
0.15,150,0.0018,False,0.873,0.872,0.635,0.619,0.238
0.15,150,0.0019,False,0.874,0.872,0.636,0.62,0.238
0.15,160,0.0012,False,0.864,0.863,0.634,0.618,0.23
0.15,160,0.0013,False,0.866,0.864,0.634,0.617,0.232
0.15,160,0.0014,False,0.868,0.866,0.634,0.618,0.234
0.15,160,0.0015,False,0.869,0.868,0.634,0.618,0.235
0.15,160,0.0016,False,0.87,0.869,0.635,0.618,0.235
0.15,160,0.0017,False,0.872,0.871,0.635,0.619,0.237
0.15,160,0.0018,False,0.873,0.872,0.636,0.62,0.237
0.15,160,0.0019,False,0.874,0.873,0.636,0.62,0.238
0.15,170,0.0012,False,0.865,0.863,0.634,0.618,0.231
0.15,170,0.0013,False,0.866,0.865,0.633,0.617,0.233
0.15,170,0.0014,False,0.868,0.866,0.634,0.617,0.234
0.15,170,0.0015,False,0.869,0.868,0.634,0.618,0.235
0.15,170,0.0016,False,0.871,0.869,0.634,0.617,0.237
0.15,170,0.0017,False,0.872,0.871,0.634,0.618,0.238
0.15,170,0.0018,False,0.873,0.872,0.635,0.619,0.238
0.15,170,0.0019,False,0.874,0.873,0.635,0.618,0.239
0.15,180,0.0012,False,0.865,0.863,0.634,0.617,0.231
0.15,180,0.0013,False,0.866,0.865,0.634,0.617,0.232
0.15,180,0.0014,False,0.868,0.867,0.634,0.617,0.234
0.15,180,0.0015,False,0.869,0.868,0.634,0.618,0.235
0.15,180,0.0016,False,0.871,0.869,0.635,0.618,0.236
0.15,180,0.0017,False,0.872,0.871,0.635,0.618,0.237
0.15,180,0.0018,False,0.873,0.872,0.636,0.619,0.237
0.15,180,0.0019,False,0.874,0.873,0.636,0.619,0.238
0.15,190,0.0012,False,0.865,0.863,0.634,0.618,0.231
0.15,190,0.0013,False,0.867,0.865,0.634,0.617,0.233
0.15,190,0.0014,False,0.868,0.867,0.634,0.617,0.234
0.15,190,0.0015,False,0.87,0.868,0.634,0.618,0.236
0.15,190,0.0016,False,0.871,0.87,0.635,0.618,0.236
0.15,190,0.0017,False,0.872,0.871,0.635,0.618,0.237
0.15,190,0.0018,False,0.874,0.872,0.636,0.619,0.238
0.15,190,0.0019,False,0.875,0.874,0.636,0.62,0.239
0.2,120,0.0012,False,0.868,0.867,0.632,0.617,0.236
0.2,120,0.0013,False,0.87,0.869,0.631,0.616,0.239
0.2,120,0.0014,False,0.872,0.87,0.631,0.616,0.241
0.2,120,0.0015,False,0.873,0.871,0.631,0.617,0.242
0.2,120,0.0016,False,0.875,0.873,0.632,0.618,0.243
0.2,120,0.0017,False,0.876,0.875,0.633,0.618,0.243
0.2,120,0.0018,False,0.877,0.876,0.634,0.619,0.243
0.2,120,0.0019,False,0.878,0.877,0.634,0.619,0.244
0.2,130,0.0012,False,0.869,0.868,0.631,0.616,0.238
0.2,130,0.0013,False,0.871,0.869,0.631,0.616,0.24
0.2,130,0.0014,False,0.872,0.871,0.631,0.616,0.241
0.2,130,0.0015,False,0.874,0.873,0.632,0.617,0.242
0.2,130,0.0016,False,0.875,0.874,0.632,0.617,0.243
0.2,130,0.0017,False,0.876,0.875,0.632,0.617,0.244
0.2,130,0.0018,False,0.877,0.876,0.633,0.618,0.244
0.2,130,0.0019,False,0.878,0.877,0.634,0.62,0.244
0.2,140,0.0012,False,0.87,0.869,0.632,0.617,0.238
0.2,140,0.0013,False,0.871,0.87,0.631,0.616,0.24
0.2,140,0.0014,False,0.873,0.871,0.633,0.618,0.24
0.2,140,0.0015,False,0.874,0.873,0.633,0.618,0.241
0.2,140,0.0016,False,0.875,0.874,0.632,0.618,0.243
0.2,140,0.0017,False,0.876,0.875,0.632,0.617,0.244
0.2,140,0.0018,False,0.878,0.877,0.633,0.618,0.245
0.2,140,0.0019,False,0.879,0.878,0.633,0.619,0.246
0.2,150,0.0012,False,0.87,0.869,0.632,0.616,0.238
0.2,150,0.0013,False,0.872,0.87,0.632,0.617,0.24
0.2,150,0.0014,False,0.873,0.872,0.631,0.616,0.242
0.2,150,0.0015,False,0.874,0.873,0.632,0.617,0.242
0.2,150,0.0016,False,0.876,0.874,0.632,0.617,0.244
0.2,150,0.0017,False,0.877,0.876,0.633,0.618,0.244
0.2,150,0.0018,False,0.878,0.877,0.634,0.619,0.244
0.2,150,0.0019,False,0.88,0.879,0.634,0.619,0.246
0.2,160,0.0012,False,0.87,0.869,0.631,0.616,0.239
0.2,160,0.0013,False,0.872,0.871,0.631,0.616,0.241
0.2,160,0.0014,False,0.873,0.872,0.632,0.617,0.241
0.2,160,0.0015,False,0.875,0.874,0.633,0.618,0.242
0.2,160,0.0016,False,0.876,0.875,0.633,0.618,0.243
0.2,160,0.0017,False,0.877,0.876,0.634,0.619,0.243
0.2,160,0.0018,False,0.879,0.878,0.634,0.62,0.245
0.2,160,0.0019,False,0.88,0.879,0.635,0.621,0.245
0.2,170,0.0012,False,0.871,0.869,0.631,0.616,0.24
0.2,170,0.0013,False,0.873,0.871,0.632,0.617,0.241
0.2,170,0.0014,False,0.874,0.873,0.632,0.617,0.242
0.2,170,0.0015,False,0.875,0.874,0.632,0.617,0.243
0.2,170,0.0016,False,0.877,0.875,0.633,0.618,0.244
0.2,170,0.0017,False,0.878,0.877,0.633,0.618,0.245
0.2,170,0.0018,False,0.879,0.878,0.633,0.618,0.246
0.2,170,0.0019,False,0.88,0.879,0.634,0.619,0.246
0.2,180,0.0012,False,0.871,0.87,0.631,0.616,0.24
0.2,180,0.0013,False,0.873,0.872,0.633,0.617,0.24
0.2,180,0.0014,False,0.874,0.873,0.633,0.617,0.241
0.2,180,0.0015,False,0.875,0.874,0.632,0.617,0.243
0.2,180,0.0016,False,0.877,0.876,0.633,0.617,0.244
0.2,180,0.0017,False,0.878,0.877,0.633,0.618,0.245
0.2,180,0.0018,False,0.879,0.878,0.633,0.618,0.246
0.2,180,0.0019,False,0.88,0.879,0.634,0.619,0.246
0.2,190,0.0012,False,0.872,0.87,0.632,0.617,0.24
0.2,190,0.0013,False,0.873,0.872,0.633,0.617,0.24
0.2,190,0.0014,False,0.875,0.873,0.632,0.617,0.243
0.2,190,0.0015,False,0.876,0.875,0.632,0.617,0.244
0.2,190,0.0016,False,0.877,0.876,0.632,0.617,0.245
0.2,190,0.0017,False,0.879,0.878,0.633,0.618,0.246
0.2,190,0.0018,False,0.88,0.879,0.634,0.619,0.246
0.2,190,0.0019,False,0.881,0.88,0.635,0.62,0.246
0.25,120,0.0012,False,0.873,0.871,0.629,0.615,0.244
0.25,120,0.0013,False,0.874,0.873,0.63,0.616,0.244
0.25,120,0.0014,False,0.876,0.875,0.63,0.616,0.246
0.25,120,0.0015,False,0.877,0.876,0.631,0.617,0.246
0.25,120,0.0016,False,0.879,0.878,0.631,0.618,0.248
0.25,120,0.0017,False,0.88,0.879,0.631,0.618,0.249
0.25,120,0.0018,False,0.881,0.88,0.632,0.619,0.249
0.25,120,0.0019,False,0.882,0.881,0.632,0.619,0.25
0.25,130,0.0012,False,0.873,0.872,0.629,0.615,0.244
0.25,130,0.0013,False,0.875,0.874,0.629,0.615,0.246
0.25,130,0.0014,False,0.877,0.875,0.629,0.615,0.248
0.25,130,0.0015,False,0.878,0.877,0.63,0.616,0.248
0.25,130,0.0016,False,0.879,0.878,0.631,0.618,0.248
0.25,130,0.0017,False,0.881,0.88,0.631,0.618,0.25
0.25,130,0.0018,False,0.882,0.881,0.631,0.618,0.251
0.25,130,0.0019,False,0.883,0.882,0.631,0.618,0.252
0.25,140,0.0012,False,0.874,0.873,0.629,0.615,0.245
0.25,140,0.0013,False,0.875,0.874,0.63,0.616,0.245
0.25,140,0.0014,False,0.877,0.876,0.63,0.616,0.247
0.25,140,0.0015,False,0.879,0.878,0.63,0.617,0.249
0.25,140,0.0016,False,0.88,0.879,0.631,0.617,0.249
0.25,140,0.0017,False,0.881,0.88,0.63,0.617,0.251
0.25,140,0.0018,False,0.882,0.881,0.631,0.618,0.251
0.25,140,0.0019,False,0.883,0.882,0.631,0.618,0.252
0.25,150,0.0012,False,0.874,0.873,0.629,0.616,0.245
0.25,150,0.0013,False,0.876,0.875,0.63,0.616,0.246
0.25,150,0.0014,False,0.877,0.876,0.63,0.616,0.247
0.25,150,0.0015,False,0.879,0.878,0.631,0.617,0.248
0.25,150,0.0016,False,0.88,0.879,0.631,0.618,0.249
0.25,150,0.0017,False,0.882,0.881,0.632,0.618,0.25
0.25,150,0.0018,False,0.883,0.882,0.632,0.619,0.251
0.25,150,0.0019,False,0.884,0.883,0.631,0.618,0.253
0.25,160,0.0012,False,0.875,0.874,0.631,0.617,0.244
0.25,160,0.0013,False,0.876,0.875,0.631,0.617,0.245
0.25,160,0.0014,False,0.878,0.876,0.631,0.617,0.247
0.25,160,0.0015,False,0.879,0.878,0.632,0.618,0.247
0.25,160,0.0016,False,0.881,0.88,0.632,0.618,0.249
0.25,160,0.0017,False,0.882,0.881,0.633,0.619,0.249
0.25,160,0.0018,False,0.883,0.882,0.633,0.62,0.25
0.25,160,0.0019,False,0.884,0.883,0.632,0.619,0.252
0.25,170,0.0012,False,0.875,0.874,0.629,0.615,0.246
0.25,170,0.0013,False,0.877,0.876,0.631,0.617,0.246
0.25,170,0.0014,False,0.878,0.877,0.631,0.617,0.247
0.25,170,0.0015,False,0.88,0.879,0.631,0.617,0.249
0.25,170,0.0016,False,0.881,0.88,0.63,0.617,0.251
0.25,170,0.0017,False,0.882,0.881,0.631,0.618,0.251
0.25,170,0.0018,False,0.883,0.883,0.632,0.618,0.251
0.25,170,0.0019,False,0.885,0.884,0.631,0.618,0.254
0.25,180,0.0012,False,0.875,0.874,0.63,0.616,0.245
0.25,180,0.0013,False,0.877,0.876,0.63,0.616,0.247
0.25,180,0.0014,False,0.879,0.878,0.631,0.617,0.248
0.25,180,0.0015,False,0.88,0.879,0.631,0.617,0.249
0.25,180,0.0016,False,0.881,0.88,0.632,0.618,0.249
0.25,180,0.0017,False,0.882,0.881,0.632,0.618,0.25
0.25,180,0.0018,False,0.884,0.883,0.632,0.619,0.252
0.25,180,0.0019,False,0.885,0.884,0.632,0.618,0.253
0.25,190,0.0012,False,0.876,0.875,0.631,0.617,0.245
0.25,190,0.0013,False,0.877,0.876,0.631,0.617,0.246
0.25,190,0.0014,False,0.879,0.878,0.631,0.617,0.248
0.25,190,0.0015,False,0.88,0.879,0.631,0.617,0.249
0.25,190,0.0016,False,0.881,0.88,0.632,0.618,0.249
0.25,190,0.0017,False,0.883,0.882,0.633,0.619,0.25
0.25,190,0.0018,False,0.884,0.883,0.632,0.619,0.252
0.25,190,0.0019,False,0.885,0.884,0.632,0.619,0.253
0.3,120,0.0012,False,0.876,0.875,0.628,0.615,0.248
0.3,120,0.0013,False,0.878,0.877,0.628,0.615,0.25
0.3,120,0.0014,False,0.879,0.878,0.628,0.615,0.251
0.3,120,0.0015,False,0.881,0.88,0.628,0.615,0.253
0.3,120,0.0016,False,0.882,0.881,0.628,0.616,0.254
0.3,120,0.0017,False,0.884,0.883,0.628,0.616,0.256
0.3,120,0.0018,False,0.885,0.884,0.628,0.616,0.257
0.3,120,0.0019,False,0.886,0.885,0.628,0.617,0.258
0.3,130,0.0012,False,0.877,0.876,0.627,0.614,0.25
0.3,130,0.0013,False,0.878,0.877,0.626,0.614,0.252
0.3,130,0.0014,False,0.88,0.879,0.627,0.615,0.253
0.3,130,0.0015,False,0.881,0.881,0.627,0.615,0.254
0.3,130,0.0016,False,0.883,0.882,0.628,0.616,0.255
0.3,130,0.0017,False,0.884,0.883,0.628,0.616,0.256
0.3,130,0.0018,False,0.885,0.885,0.628,0.616,0.257
0.3,130,0.0019,False,0.887,0.886,0.627,0.615,0.26
0.3,140,0.0012,False,0.877,0.876,0.627,0.614,0.25
0.3,140,0.0013,False,0.879,0.878,0.628,0.615,0.251
0.3,140,0.0014,False,0.88,0.879,0.628,0.615,0.252
0.3,140,0.0015,False,0.882,0.881,0.627,0.615,0.255
0.3,140,0.0016,False,0.883,0.882,0.627,0.615,0.256
0.3,140,0.0017,False,0.885,0.884,0.628,0.616,0.257
0.3,140,0.0018,False,0.886,0.885,0.628,0.616,0.258
0.3,140,0.0019,False,0.887,0.886,0.628,0.616,0.259
0.3,150,0.0012,False,0.878,0.877,0.628,0.615,0.25
0.3,150,0.0013,False,0.879,0.878,0.629,0.616,0.25
