C,principal_components,gamma,probablity,accuracy_train,f1_train,accuracy_test,f1_test,accuracy_difference
0.05,100,0.001,False,0.829,0.827,0.639,0.618,0.19
0.05,100,0.0011,False,0.831,0.829,0.638,0.618,0.193
0.05,110,0.001,False,0.83,0.828,0.638,0.618,0.192
0.05,110,0.0011,False,0.832,0.83,0.638,0.618,0.194
0.1,100,0.001,False,0.846,0.844,0.636,0.618,0.21
0.1,100,0.0011,False,0.848,0.846,0.637,0.619,0.211
0.1,110,0.001,False,0.847,0.845,0.636,0.618,0.211
0.1,110,0.0011,False,0.849,0.847,0.637,0.619,0.212
0.15,100,0.001,False,0.856,0.854,0.632,0.615,0.224
0.15,100,0.0011,False,0.858,0.856,0.633,0.617,0.225
0.15,110,0.001,False,0.857,0.855,0.633,0.617,0.224
0.15,110,0.0011,False,0.859,0.858,0.634,0.617,0.225
0.2,100,0.001,False,0.862,0.86,0.633,0.617,0.229
0.2,100,0.0011,False,0.864,0.863,0.633,0.618,0.231
0.2,110,0.001,False,0.863,0.862,0.632,0.617,0.231
0.2,110,0.0011,False,0.866,0.864,0.632,0.617,0.234
0.25,100,0.001,False,0.867,0.866,0.63,0.616,0.237
0.25,100,0.0011,False,0.869,0.868,0.63,0.616,0.239
0.25,110,0.001,False,0.868,0.867,0.631,0.616,0.237
0.25,110,0.0011,False,0.87,0.869,0.631,0.617,0.239
0.3,100,0.001,False,0.87,0.869,0.628,0.615,0.242
0.3,100,0.0011,False,0.872,0.871,0.628,0.614,0.244
0.3,110,0.001,False,0.871,0.87,0.629,0.615,0.242
0.3,110,0.0011,False,0.873,0.872,0.629,0.616,0.244
0.35,100,0.001,False,0.873,0.871,0.626,0.614,0.247
0.35,100,0.0011,False,0.874,0.873,0.626,0.614,0.248
0.35,110,0.001,False,0.874,0.873,0.628,0.615,0.246
0.35,110,0.0011,False,0.876,0.875,0.627,0.615,0.249
0.4,100,0.001,False,0.874,0.873,0.625,0.613,0.249
0.4,100,0.0011,False,0.877,0.876,0.624,0.613,0.253
0.4,110,0.001,False,0.876,0.875,0.626,0.615,0.25
0.4,110,0.0011,False,0.878,0.877,0.626,0.614,0.252
0.45,100,0.001,False,0.877,0.876,0.622,0.611,0.255
0.45,100,0.0011,False,0.879,0.878,0.621,0.611,0.258
0.45,110,0.001,False,0.878,0.877,0.624,0.613,0.254
0.45,110,0.0011,False,0.88,0.879,0.622,0.611,0.258
0.5,100,0.001,False,0.879,0.878,0.621,0.611,0.258
0.5,100,0.0011,False,0.88,0.88,0.62,0.611,0.26
0.5,110,0.001,False,0.88,0.879,0.622,0.612,0.258
0.5,110,0.0011,False,0.882,0.881,0.621,0.611,0.261
0.55,100,0.001,False,0.88,0.879,0.62,0.61,0.26
0.55,100,0.0011,False,0.882,0.881,0.618,0.61,0.264
0.55,110,0.001,False,0.881,0.881,0.62,0.611,0.261
0.55,110,0.0011,False,0.884,0.883,0.619,0.61,0.265
0.6,100,0.001,False,0.881,0.881,0.617,0.609,0.264
0.6,100,0.0011,False,0.884,0.883,0.616,0.608,0.268
0.6,110,0.001,False,0.883,0.882,0.619,0.61,0.264
0.6,110,0.0011,False,0.885,0.884,0.617,0.608,0.268
0.65,100,0.001,False,0.883,0.882,0.615,0.607,0.268
0.65,100,0.0011,False,0.885,0.884,0.615,0.607,0.27
0.65,110,0.001,False,0.884,0.884,0.616,0.608,0.268
0.65,110,0.0011,False,0.886,0.886,0.615,0.607,0.271
0.7,100,0.001,False,0.884,0.883,0.613,0.606,0.271
0.7,100,0.0011,False,0.886,0.885,0.612,0.605,0.274
0.7,110,0.001,False,0.886,0.885,0.615,0.607,0.271
0.7,110,0.0011,False,0.887,0.887,0.613,0.606,0.274
0.75,100,0.001,False,0.885,0.884,0.611,0.604,0.274
0.75,100,0.0011,False,0.887,0.886,0.612,0.605,0.275
0.75,110,0.001,False,0.886,0.886,0.612,0.605,0.274
0.75,110,0.0011,False,0.889,0.888,0.612,0.606,0.277
0.8,100,0.001,False,0.886,0.885,0.61,0.603,0.276
0.8,100,0.0011,False,0.888,0.888,0.61,0.603,0.278
0.8,110,0.001,False,0.888,0.887,0.612,0.605,0.276
0.8,110,0.0011,False,0.89,0.889,0.611,0.604,0.279
0.85,100,0.001,False,0.887,0.886,0.609,0.603,0.278
0.85,100,0.0011,False,0.889,0.889,0.609,0.603,0.28
0.85,110,0.001,False,0.888,0.888,0.611,0.605,0.277
0.85,110,0.0011,False,0.891,0.89,0.61,0.604,0.281
0.9,100,0.001,False,0.888,0.887,0.608,0.602,0.28
