C,principal_components,gamma,probablity,accuracy_train,f1_train,accuracy_test,f1_test,accuracy_difference
0.5,100,auto,False,0.936,0.936,0.579,0.563,0.357
0.5,100,scale,False,0.895,0.894,0.618,0.61,0.277
0.5,150,auto,False,0.93,0.93,0.619,0.609,0.311
0.5,150,scale,False,0.899,0.898,0.622,0.613,0.277
0.5,200,auto,False,0.926,0.925,0.624,0.615,0.302
0.5,200,scale,False,0.901,0.9,0.623,0.614,0.278
0.5,250,auto,False,0.921,0.921,0.626,0.617,0.295
0.5,250,scale,False,0.902,0.901,0.623,0.614,0.279
0.5,300,auto,False,0.918,0.918,0.627,0.618,0.291
0.5,300,scale,False,0.902,0.902,0.624,0.615,0.278
0.5,350,auto,False,0.915,0.914,0.628,0.619,0.287
0.5,350,scale,False,0.903,0.902,0.626,0.617,0.277
0.5,400,auto,False,0.912,0.912,0.627,0.618,0.285
0.5,400,scale,False,0.904,0.903,0.627,0.617,0.277
0.5,450,auto,False,0.909,0.909,0.628,0.619,0.281
0.5,450,scale,False,0.904,0.904,0.626,0.617,0.278
0.5,500,auto,False,0.907,0.906,0.627,0.617,0.28
0.5,500,scale,False,0.904,0.904,0.626,0.617,0.278
1.0,100,auto,False,0.963,0.963,0.578,0.567,0.385
1.0,100,scale,False,0.908,0.907,0.6,0.598,0.308
1.0,150,auto,False,0.956,0.956,0.611,0.604,0.345
1.0,150,scale,False,0.913,0.913,0.606,0.603,0.307
1.0,200,auto,False,0.949,0.949,0.615,0.608,0.334
1.0,200,scale,False,0.916,0.916,0.608,0.605,0.308
1.0,250,auto,False,0.944,0.944,0.615,0.609,0.329
1.0,250,scale,False,0.918,0.917,0.611,0.607,0.307
1.0,300,auto,False,0.939,0.939,0.615,0.61,0.324
1.0,300,scale,False,0.919,0.919,0.613,0.609,0.306
1.0,350,auto,False,0.935,0.934,0.617,0.611,0.318
1.0,350,scale,False,0.92,0.92,0.615,0.61,0.305
1.0,400,auto,False,0.931,0.931,0.616,0.611,0.315
1.0,400,scale,False,0.92,0.92,0.615,0.61,0.305
1.0,450,auto,False,0.928,0.927,0.614,0.609,0.314
1.0,450,scale,False,0.921,0.921,0.616,0.611,0.305
1.0,500,auto,False,0.925,0.925,0.616,0.611,0.309
1.0,500,scale,False,0.922,0.921,0.615,0.61,0.307
1.5,100,auto,False,0.976,0.976,0.572,0.562,0.404
1.5,100,scale,False,0.916,0.915,0.59,0.591,0.326
1.5,150,auto,False,0.969,0.969,0.602,0.596,0.367
1.5,150,scale,False,0.921,0.921,0.591,0.592,0.33
1.5,200,auto,False,0.963,0.963,0.604,0.599,0.359
